tax	#sample ID	aminoglycoside antibiotic	multidrug	beta-lactamase	MGE	Transposase	MLSB	tetracycline antibiotic	phenicol antibiotic	glycopeptide antibiotic	fluoroquinolone antibiotic	others
Low_latitudes	L1	0.676367524	0.063205089	0.012423618	0.027851273	0.007266302	0.03318991	0.016376943	0.026518966	0.002677093	0	0.134123282
Low_latitudes	L2	0.178655229	0.20298855	0.104923455	0.1020799	0.1575038	0.077416562	0.106134422	0	0	0.028810552	0.041487531
Low_latitudes	L3	0.571610128	0.055352631	0.013031716	0.074091005	0.019797009	0.027718547	0.008069209	0.002725799	0.00225898	0.139782196	0.08556278
Low_latitudes	L4	0.362175638	0.188737895	0.026883683	0.082312429	0.020555851	0.130620933	0.02315397	0.028567797	0.00577271	0	0.131219093
Low_latitudes	L5	0.199991925	0.139615108	0.034961973	0.037189636	0.228035657	0.118462236	0.108909642	0.052364066	0	0	0.080469757
Low_latitudes	L6	0.247349657	0.14668083	0	0.121015108	0.134551304	0.060525999	0.225788111	0.037171683	0	0.003915557	0.02300175
Low_latitudes	L7	0.212612764	0.092481038	0.014709703	0.07777246	0.168250534	0.111704417	0.136221194	0.079798179	0	0.001528885	0.104920825
Low_latitudes	L8	0.237581398	0.112743311	0.026822506	0.119381725	0.148702204	0.045192247	0.174369065	0.027587028	0	0.010789476	0.09683104
Low_latitudes	L9	0.210408706	0.109473039	0.006099119	0.127413048	0.176892119	0.109117347	0.049624398	0.135773663	0.001393982	0.003898792	0.069905785
Low_latitudes	L10	0.250500636	0.077483655	0.052298054	0.090726786	0.171356707	0.026973234	0.075255094	0.004592356	0	0.029594263	0.221219213
Low_latitudes	L11	0.308191678	0.064933427	0.013037107	0.174198621	0.160934625	0.044302768	0.05219273	0.027965964	0.00141126	0.030913503	0.121918318
Low_latitudes	L12	0.08382184	0.111057393	0.077978192	0.039475657	0.286167823	0.026654092	0.016528991	0.009795195	0.003278208	0.19954988	0.14569273
Low_latitudes	L13	0.247725278	0.141828488	0.002403616	0.110868014	0.14859351	0.073594331	0.037249002	0.121991656	0	0.003478795	0.11226731
Low_latitudes	L14	0.258424844	0.074844557	0.010304243	0.190430878	0.19372737	0.050103725	0.054801691	0.044248264	0	0.009153757	0.113960671
Low_latitudes	L15	0.223089368	0.092789824	0.003851762	0.151324978	0.192280312	0.086976106	0.035943181	0.115706408	0	0	0.098038061
Low_latitudes	L16	0.260157652	0.200591669	0.119212528	0	0.165539339	0.050291557	0.045413508	0.005820108	0	0.01239727	0.140576368
Low_latitudes	L17	0.181002639	0.160370599	0.023507101	0.093055204	0.166874531	0.106292946	0.049462511	0.027979818	0	0	0.191454654
Low_latitudes	L18	0.321520682	0.10774044	0.006487978	0.05461192	0.120874477	0.097733341	0.085783285	0.067602057	0.016120059	0	0.121525762
Low_latitudes	L19	0.246449988	0.090088593	0.037277821	0.134245863	0.19777025	0.02490827	0.018010091	0.003552561	0.010879456	0.01848581	0.218331299
Low_latitudes	L20	0.245351564	0.137682346	0.083757459	0.102511364	0.304037232	0.031973099	0	0.004613098	0	0	0.090073838
Low_latitudes	L21	0.271111407	0.042895572	0.004500267	0.083835464	0.13194657	0.0867319	0.117749696	0.010855102	0.004585011	0	0.245789011
Mid_latitudes	M1	0.41414102	0.102215248	0.041470598	0.102364408	0.118137586	0.044942975	0.02045978	0.030916239	0	0.015991989	0.109360157
Mid_latitudes	M2	0.205082488	0.151135397	0.030789257	0.097789975	0.167286036	0.102403839	0.033920642	0.057566526	0	0.021610838	0.132415002
Mid_latitudes	M3	0.259473066	0.115252539	0.021635586	0.069970246	0.127088829	0.188836832	0.062111346	0.061651907	0.000554102	0.002837665	0.090587881
Mid_latitudes	M4	0.38622359	0.100301231	0.041557433	0.053651804	0.081442848	0.061880335	0.053016897	0.059226859	0.000847378	0.022516507	0.139335118
Mid_latitudes	M5	0.23922866	0.078584584	0.043143915	0.096847629	0.170670828	0.091959616	0.074150956	0.076417872	0.001160307	0.006770439	0.121065194
Mid_latitudes	M6	0.19751496	0.169159157	0.045259588	0.058924122	0.201300662	0.094619003	0.058620095	0.052006885	0.000383347	0.007638233	0.114573949
Mid_latitudes	M7	0.209599998	0.052505726	0.018742371	0.046006553	0.118126775	0.067248694	0.077424238	0.013347312	0.002779114	0.302363709	0.09185551
Mid_latitudes	M8	0.142738261	0.046019753	0.022225715	0.061280622	0.145083853	0.188519149	0.273012002	0.053621386	0.023083302	0.001052617	0.043363339
Mid_latitudes	M9	0.116617568	0.067623478	0.016971549	0.039638488	0.129853666	0.104069607	0.104633255	0.031629397	0.000820286	0.356749866	0.03139284
Mid_latitudes	M10	0.241854151	0.018518241	0.011056715	0.008344736	0.019621579	0.012645924	0.446311114	0.010524621	0.209717483	0.000558065	0.020847371
Mid_latitudes	M11	0.154761617	0.053610166	0.027983021	0.025462799	0.09556884	0.155866911	0.096473187	0.033493295	0.012413011	0.281940144	0.062427011
Mid_latitudes	M12	0.151699749	0.076677583	0.021530041	0.072432136	0.179167917	0.121761341	0.168096899	0.055652884	0.000968179	0.081766091	0.07024718
Mid_latitudes	M13	0.16529382	0.054702806	0.03635796	0.082587424	0.122380614	0.049772393	0.085838379	0.0274103	0.005644203	0.291396373	0.078615727
Mid_latitudes	M14	0.086847354	0.058280427	0.062506437	0.021027118	0.092880483	0.056690239	0.09985607	0.016692696	0	0.459665574	0.045553602
Mid_latitudes	M15	0.193911079	0.07679499	0.00854616	0.125495807	0.173195116	0.117699347	0.162977866	0.038285052	0.001040439	0.007498717	0.094555426
Mid_latitudes	M16	0.276135392	0.106585081	0.025398772	0.022871301	0.155228666	0.079520135	0.164048714	0.066689419	0	0	0.103522519
Mid_latitudes	M17	0.272156249	0.086586267	0.002658043	0.136158991	0.164200312	0.097220516	0.093192084	0.047197053	0.000806576	0.019826868	0.079997041
Mid_latitudes	M18	0.251865741	0.099840903	0.009780533	0.119588094	0.169357114	0.117092528	0.070082765	0.009787253	0.000755566	0.016067092	0.135782411
