tax	#sample ID	Cyanobacteriia	Alphaproteobacteria	Actinobacteria	Gammaproteobacteria	Bacilli	Bacteroidia	Clostridia	Deinococci	Thermoleophilia	Rubrobacteria	others
Low_latitudes	L1	0.026259846	0.384264632	0.085280314	0.13181272	0.001828022	0.264180009	0.000410791	0.099894221	5.13489E-05	7.18885E-05	0.005946207
Low_latitudes	L2	0.222735923	0.452325079	0.100089898	0.075782518	0.010437463	0.044376729	0.019859199	0.024786055	0.002054803	0.000840601	0.046711732
Low_latitudes	L3	0.005899788	0.402324545	0.103154335	0.090817128	0.004187859	0.249106897	0.009974463	0.107603936	0.001888781	0.000827668	0.0242146
Low_latitudes	L4	0.156153312	0.38151165	0.029652081	0.120679422	0.006036497	0.262701269	0.001464924	0.014712382	0.000972406	0	0.026116057
Low_latitudes	L5	0.301997633	0.350697151	0.102407552	0.069873849	0.049450074	0.017291649	0.037498917	0.024522964	0.001789787	0.001255737	0.043214688
Low_latitudes	L6	0.150664229	0.331322364	0.113394272	0.136404631	0.055332115	0.042766606	0.071042048	0.03709933	0.001048141	0.002486289	0.058439976
Low_latitudes	L7	0.248704394	0.478783234	0.028185113	0.026717409	0.094712369	0.049720097	0.057370342	0.001194945	0.000298736	0.000272759	0.014040602
Low_latitudes	L8	0.266501564	0.332664234	0.081882169	0.101133994	0.03096976	0.063047445	0.023383733	0.01914755	0.003441084	0.011704901	0.066123566
Low_latitudes	L9	0.130213201	0.412894222	0.145988312	0.181912203	0.038827209	0.032995651	0.020535058	0.004124456	0.001108993	0.000348897	0.031051799
Low_latitudes	L10	0.17944441	0.178831177	0.210743852	0.299687251	0.011050469	0.042901821	0.012411848	0.010437236	0.003066168	0.005788925	0.045636843
Low_latitudes	L11	0.201893788	0.339008016	0.116823647	0.125581162	0.023937876	0.067164329	0.005180361	0.06993988	0.00248497	0.00247495	0.045511022
Low_latitudes	L12	0.079985598	0.361942482	0.138530087	0.259327603	0.014321077	0.061433908	0.002916423	0.046239705	0.001143166	0.002007291	0.032152662
