tax	#sample ID	Dothideomycetes	Sordariomycetes	Tremellomycetes	Eurotiomycetes	Cystobasidiomycetes	unclassified_k__Fungi	Leotiomycetes	Agaricomycetes	Arthoniomycetes	others
Low_latitudes	L1	0.236790587	0.002860476	0.011573769	0.08555054	0.245006847	0.409778364	0.000963635	0.003195212	0.002596744	0.001683791
Low_latitudes	L2	0.597709258	0.004160269	0.020676848	0.007117069	0.024380628	0.095416442	0.003174669	0.001525086	0.243754409	0.002085249
Low_latitudes	L3	0.179186034	0.004994145	0.292685307	0.342688855	0.015683213	0.109108328	0.000363694	0.000390306	0.027933506	0.026966552
Low_latitudes	L4	0.239166636	0.004866225	0.281639714	0.054240832	0.374995374	0.039216593	0.000444066	0.000518077	0.001424712	0.003487942
Low_latitudes	L5	0.729642425	0.145190446	0.007444567	0.014365019	0.004085955	0.056914569	0.001315635	0.021745409	0	0.019296035
Low_latitudes	L6	0.864558121	0.038291045	0.00280112	0.003481004	0.034302394	0.036586803	0.000453256	0.013661128	2.72E-05	0.00583791
Low_latitudes	L7	0.844049915	0.107498896	0.000987614	0.007633676	0.001463993	0.010898613	0.000499617	0.020391328	3.49E-05	0.006541621
Low_latitudes	L8	0.728448959	0.154572337	0.022388269	0.027873394	0.004776164	0.029851025	0.000736947	0.016940457	0.000531721	0.013880755
Low_latitudes	L9	0.906244306	0.028774825	0.005205758	0.030753013	0.003735131	0.006884614	2.60E-05	0.016085791	0	0.002290703
Low_latitudes	L10	0.654918602	0.127929996	0.016079439	0.018195986	0.006086389	0.048564749	0.007634311	0.106743466	0	0.013847061
Low_latitudes	L11	0.386453018	0.201189586	0.012719255	0.192468121	0.021505726	0.063747955	0.043347309	0.055199835	0.001581781	0.021787404
Low_latitudes	L12	0.138470604	0.008839057	0.049546501	0.005829	0.765454415	0.017725894	4.78E-05	0.008162193	0	0.005924586
Low_latitudes	L13	0.958740989	0.019549066	0.001296528	0.002262027	0.002170075	0.004009122	0.000891938	0.00787112	0.000340224	0.002869027
Low_latitudes	L14	0.806220196	0.042885953	0.001575531	0.024357709	0.003067034	0.013286978	0.003613218	0.098113564	0	0.00687973
Low_latitudes	L15	0.769409796	0.107952414	0.007664862	0.015839432	0.004481588	0.033121436	0.032688664	0.020898049	0	0.007943776
Low_latitudes	L16	0.84605082	0.03319816	0.007924402	0.019780002	0.001314533	0.023624391	0.008184828	0.03804705	0.000533254	0.021342551
Low_latitudes	L17	0.534139187	0.101739834	0.027402387	0.040309529	0.010439005	0.042838357	0.07782723	0.113534291	0.000859802	0.050910371
Low_latitudes	L18	0.901009783	0.042684618	0.003458416	0.007490152	0.001137393	0.008840229	0.024606536	0.006574689	8.32E-05	0.004114952
Low_latitudes	L19	0.426678884	0.119764823	0.001593937	0.165731302	0.017981904	0.066219982	0.001116711	0.121626007	0.05550147	0.023784969
