SampleID	Group	Number of detected ARGs 
L1	Low_latitudes1	60
L2	Low_latitudes	26
L3	Low_latitudes	42
L4	Low_latitudes	41
L5	Low_latitudes	36
L6	Low_latitudes	42
L7	Low_latitudes	64
L8	Low_latitudes	54
L9	Low_latitudes	68
L10	Low_latitudes	36
L11	Low_latitudes	67
L12	Low_latitudes	40
L13	Low_latitudes	114
L14	Low_latitudes	85
L15	Low_latitudes	86
L16	Low_latitudes	35
L17	Low_latitudes	52
L18	Low_latitudes	44
L19	Low_latitudes	37
L20	Low_latitudes	27
L21	Low_latitudes	56
M1	Mid_latitudes1	70
M2	Mid_latitudes2	63
M3	Mid_latitudes3	87
M4	Mid_latitudes4	76
M5	Mid_latitudes5	82
M6	Mid_latitudes6	101
M7	Mid_latitudes7	94
M8	Mid_latitudes8	103
M9	Mid_latitudes9	87
M10	Mid_latitudes10	85
M11	Mid_latitudes11	66
M12	Mid_latitudes12	106
M13	Mid_latitudes13	81
M14	Mid_latitudes14	80
M15	Mid_latitudes15	94
M16	Mid_latitudes16	76
M17	Mid_latitudes17	83
M18	Mid_latitudes18	73
M19	Mid_latitudes19	67
M20	Mid_latitudes20	63
M21	Mid_latitudes21	64
H1	High_latitudes1	92
H2	High_latitudes2	49
H3	High_latitudes3	98
H4	High_latitudes4	78
H5	High_latitudes5	108
H6	High_latitudes6	104
H7	High_latitudes7	129
H8	High_latitudes8	103
H9	High_latitudes9	60
H10	High_latitudes10	47
H11	High_latitudes11	76
H12	High_latitudes12	76
H13	High_latitudes13	55
H14	High_latitudes14	32
H15	High_latitudes15	29
H16	High_latitudes16	28
H17	High_latitudes17	24
H18	High_latitudes18	14
H19	High_latitudes19	25
H20	High_latitudes20	25
H21	High_latitudes21	13
