tax	#sample ID	Secretion system	Adherence	LEE-encoded TTSS effectors	Fimbrial adherence determinants	Regulation	Iron uptake	Biofilm formation	Spv locus	Nonfimbrial adherence determinants	Immune evasion	others
Low_latitudes	L1	0.041638466	0.607989992	0.025585901	0.125220127	0.118609622	0	0.026170963	0	0.01585907	0.010969017	0.027956842
Low_latitudes	L2	0	0.609548157	0	0.112823358	0.277628485	0	0	0	0	0	0
Low_latitudes	L3	0.125245219	0.408732566	0.015022118	0.152846424	0.206686522	0.009451226	0	0.041283657	0	0.019774302	0.020957967
Low_latitudes	L4	0.066488196	0.132421624	0	0.269352469	0.222355843	0	0	0.062139613	0	0	0.247242255
Low_latitudes	L6	0	0	0.383771644	0.101960013	0	0.514268343	0	0	0	0	0
Low_latitudes	L8	0	0	0.452558291	0	0	0.40034142	0	0	0	0	0.147100289
Low_latitudes	L9	0.117721722	0.175593569	0	0.096282555	0.454990493	0.155411662	0	0	0	0	0
Low_latitudes	L10	0.061319609	0.497151066	0	0.294010185	0.147519141	0	0	0	0	0	0
Low_latitudes	L11	0	0	0	0	0.214733304	0	0.342665519	0.104067089	0	0.338534088	0
Low_latitudes	L12	0	0.761387688	0	0	0	0.238612312	0	0	0	0	0
Low_latitudes	L13	0	0.242467215	0.127575425	0	0	0.515507301	0	0	0	0.11445006	0
Low_latitudes	L14	0.271057648	0.158868818	0	0.150999902	0.259315613	0.159758019	0	0	0	0	0
Low_latitudes	L16	0.014389176	0.934515996	0	0	0	0.051094827	0	0	0	0	0
Low_latitudes	L17	0.14425552	0.095580782	0	0.021436923	0.675635939	0	0	0	0	0	0.063090837
Low_latitudes	L18	0.444807945	0.067903832	0	0	0	0	0.353128458	0	0	0.134159764	0
Low_latitudes	L19	0.324761477	0.146758582	0	0	0	0.528479941	0	0	0	0	0
Low_latitudes	L20	0.899094188	0.026474277	0	0.0632833	0	0.011148235	0	0	0	0	0
Low_latitudes	L21	0.014966094	0.121991825	0.02732554	0.419917003	0.037604989	0.331357237	0	0.024283398	0	0	0.022553914
Mid_latitudes	M1	0.095020125	0.573706158	0	0.16336409	0	0.167909627	0	0	0	0	0
Mid_latitudes	M2	0.16700459	0.322968553	0.066468887	0.268588299	0.130123701	0.044845969	0	0	0	0	0
Mid_latitudes	M3	0.048954717	0.487093399	0.106653605	0.297599273	0	0.019272655	0	0	0	0.040426351	0
Mid_latitudes	M4	0	0.133498917	0	0.429556518	0	0.221743644	0	0	0.04523704	0	0.16996388
Mid_latitudes	M5	0.125242233	0.221310389	0.03990238	0.11230958	0.156465936	0.067501093	0	0	0	0	0.27726839
Mid_latitudes	M6	0.093945364	0.497074187	0.019393952	0.176534983	0.106214867	0.043822718	0	0.022886022	0.016290046	0	0.023837862
Mid_latitudes	M7	0.150668267	0.033660053	0.158260595	0.264091117	0	0.237219636	0	0.116420321	0	0	0.039680012
Mid_latitudes	M8	0	0.326101352	0.417649333	0.075795041	0.142775931	0	0	0.037678343	0	0	0
Mid_latitudes	M9	0.158893233	0.214056741	0.334431673	0.041774225	0.191765908	0	0	0	0	0.05907822	0
Mid_latitudes	M10	0.035607519	0.262065812	0.233234996	0.030264724	0.040265743	0.211008252	0.064605682	0	0	0	0.122947273
Mid_latitudes	M11	0	0.377380827	0.367447536	0.07689575	0	0.102944782	0	0	0	0	0.075331105
Mid_latitudes	M12	0.036123395	0.337594902	0.476520462	0.025425445	0.038046574	0.062614192	0	0	0.023675031	0	0
Mid_latitudes	M13	0.064832181	0.236488705	0	0.091988989	0	0.46025512	0	0.064172747	0	0	0.082262258
Mid_latitudes	M15	0.033489112	0.380879785	0.033795622	0.033929669	0.163737439	0.11584909	0.238319283	0	0	0	0
Mid_latitudes	M16	0	0.140069599	0.724733759	0.02378063	0.014702573	0.016513128	0.080200311	0	0	0	0
Mid_latitudes	M17	0	0.071497295	0.744769507	0.069690594	0.041156353	0	0	0.033354151	0	0	0.0395321
Mid_latitudes	M18	0.150625311	0.279548262	0	0.194765916	0	0	0	0.198617704	0.176442807	0	0
Mid_latitudes	M19	0	0.281718584	0.320506983	0	0	0	0	0	0	0	0.397774433
