city	latitude	value	AMT
D38	21.5743998	28.16000579	22.90833282
D37	21.81784768	90.12765913	21.92499924
D39	21.82044321	79.06642015	23
D40	21.87911837	30.35064723	22.53750038
D41	22.87461962	14.48252711	22.24583435
D36	22.92793419	53.80125518	22.22083282
D42	22.97574987	11.38050488	22.36666679
D43	23.61175416	74.88409099	21.55416679
D35	23.78264415	52.46670868	22.58749962
D44	24.32414411	18.05742981	20.84583282
D34	24.90327804	2.985077155	17.28333282
D82	24.98162346	11.69313351	20.09583282
D45	25.30146728	49.12934982	20.05416679
D83	26.02069136	30.53880516	18.97083282
D33	26.17173828	8.365261112	15.74166679
D46	26.44269099	34.22456945	17.99166679
D47	27.27590281	14.67726879	18.02083397
D32	27.36829882	10.83241276	15.875
D84	27.61540601	18.85782582	17.99166679
D48	28.33989636	17.52674685	17.24583244
D31	28.49442634	6.687882236	15.6916666
D23	28.87995353	18.20715008	17.76666641
D24	28.96676136	60.86473707	17.54166603
D22	28.96907974	35.42643692	17.54166603
D25	29.33896512	9.007820739	16.58749962
D30	29.64726283	1.595776862	17.34583282
D21	29.80266393	37.17603033	17.44166565
D1	29.8406439	7.850286827	17.24166679
D2	30.10013803	12.62746079	16.80833244
D29	30.18037515	8.827149539	11.28333282
D26	30.34183215	9.871228211	16.85416603
D28	30.50280863	3.911656519	13.70416641
D27	30.55968177	7.409730016	16.52083397
D3	30.66626595	13.25527968	16.16250038
D20	30.69222066	33.48388632	16.53333282
D81	30.73239273	6.958147427	17.34166718
D4	31.42210804	5.683376595	15.83333302
D19	31.84908017	24.54565629	15.76249981
D5	32.39829839	20.80426133	15.17500019
D18	32.69869486	67.58550617	15.47500038
D6	33.55394881	12.11893758	14.27916622
D7	34.348874	0.000335064	13.7458334
D16	35.30786119	24.01000749	14.02083397
D9	36.28403155	15.60064349	12.8083334
D15	36.34171807	44.74793861	13.35416698
D10	36.66673219	14.33573115	12.45416641
D12	36.80701097	16.98046455	12.38749981
D13	36.80869944	43.0447441	13.46249962
D14	36.84505008	15.06228078	13.28333282
D11	37.02491341	15.95580552	11.97916698
D55	37.73692257	16.7595906	13.09583378
D75	38.03078569	54.70000213	9.11250019
D56	38.83178701	23.69766627	12.9958334
D57	39.48840554	13.70110888	10.84166718
D73	40.69938134	62.67009551	6.13749981
D72	40.8645235	12.95099164	3.5041666
D59	41.51683825	19.70218554	8.60833359
D60	41.69568385	6.200020434	6.10833359
D63	44.09007201	9.805148237	4.23749971
D64	45.17651026	11.64272298	3.25
D65	46.40979604	7.955856325	2.84166646
D67	47.80058943	8.401041062	1.0041666
D68	48.46046007	40.10000598	1.01666665
