city	latitude	longitude	value
D1	29.8406439	121.5802002	0.078502868
D2	30.10013803	120.6428433	0.126274608
D3	30.66626595	120.0531006	0.132552797
D4	31.42210804	119.8199415	0.056833766
D5	32.39829839	119.9922037	0.208042613
D6	33.55394881	120.2119303	0.121189376
D7	34.348874	119.436279	3.35064E-06
D9	36.28403155	119.952035	0.156006435
D10	36.66673219	120.954237	0.143357311
D11	37.02491341	121.8893799	0.159558055
D12	36.80701097	120.0027382	0.169804645
D13	36.80869944	118.5201667	0.430447441
D14	36.84505008	117.0581391	0.150622808
D15	36.34171807	115.8254176	0.447479386
D16	35.30786119	115.6366612	0.240100075
D18	32.69869486	115.9720839	0.675855062
D19	31.84908017	116.4432939	0.245456563
D20	30.69222066	116.7348436	0.334838863
D21	29.80266393	115.9776418	0.371760303
D22	28.96907974	115.8091944	0.354264369
D23	28.87995353	117.6027286	0.182071501
D24	28.96676136	118.745188	0.608647371
D25	29.33896512	120.3459665	0.090078207
D26	30.34183215	113.527516	0.098712282
D27	30.55968177	111.5278917	0.0740973
D28	30.50280863	109.8460691	0.039116565
D29	30.18037515	108.5491264	0.088271495
D30	29.64726283	107.3189179	0.015957769
D31	28.49442634	107.4508088	0.066878822
D32	27.36829882	106.9667934	0.108324128
D33	26.17173828	106.680907	0.083652611
D34	24.90327804	106.6367867	0.029850772
D35	23.78264415	106.7248335	0.524667087
D36	22.92793419	107.9939826	0.538012552
D37	21.81784768	108.9222708	0.901276591
D38	21.5743998	110.3929485	0.281600058
D39	21.82044321	111.6453002	0.790664202
D40	21.87911837	112.6807867	0.303506472
D41	22.87461962	113.8015023	0.144825271
D42	22.97574987	115.6466647	0.113805049
D43	23.61175416	116.7343109	0.74884091
D44	24.32414411	117.8550646	0.180574298
D45	25.30146728	118.9865696	0.491293498
D46	26.44269099	119.4920836	0.342245694
D47	27.27590281	120.4747916	0.146772688
D48	28.33989636	121.4801109	0.175267469
D55	37.73692257	117.1095296	0.167595906
D56	38.83178701	117.6037281	0.236976663
D57	39.48840554	119.045819	0.137011089
D59	41.51683825	122.6758072	0.197021855
D60	41.69568385	124.7940515	0.062000204
D63	44.09007201	129.1184349	0.098051482
D64	45.17651026	130.2722682	0.11642723
D65	46.40979604	130.4155831	0.079558563
D67	47.80058943	127.8655798	0.084010411
D68	48.46046007	126.2836042	0.40100006
D72	40.8645235	112.690984	0.129509916
D73	40.69938134	111.0058594	0.626700955
D75	38.03078569	109.1821289	0.547000021
D81	30.73239273	107.1826172	0.069581474
D82	24.98162346	113.9115715	0.116931335
D83	26.02069136	115.1809216	0.305388052
D84	27.61540601	115.7519531	0.188578258
