city	latitude	longitude	value
D1	29.8406439	121.5802002	0.000829353
D2	30.10013803	120.6428433	0.004618666
D3	30.66626595	120.0531006	0.003718746
D4	31.42210804	119.8199415	0.001451967
D5	32.39829839	119.9922037	0.002138401
D6	33.55394881	120.2119303	0.001263173
D7	34.348874	119.436279	0.001519036
D9	36.28403155	119.952035	0.001697224
D10	36.66673219	120.954237	0.001648017
D11	37.02491341	121.8893799	0.004346079
D12	36.80701097	120.0027382	0.001226829
D13	36.80869944	118.5201667	0.000679639
D14	36.84505008	117.0581391	0.001826012
D15	36.34171807	115.8254176	0.003276144
D16	35.30786119	115.6366612	0.002148657
D18	32.69869486	115.9720839	0.000789686
D19	31.84908017	116.4432939	0.002023357
D20	30.69222066	116.7348436	0.000735393
D21	29.80266393	115.9776418	0.011556296
D22	28.96907974	115.8091944	0.002662996
D23	28.87995353	117.6027286	0.006454482
D24	28.96676136	118.745188	0.0004157
D25	29.33896512	120.3459665	0.002659441
D26	30.34183215	113.527516	0.004717541
D27	30.55968177	111.5278917	0.001575394
D28	30.50280863	109.8460691	0.00030307
D29	30.18037515	108.5491264	0.001359473
D30	29.64726283	107.3189179	0.000778166
D31	28.49442634	107.4508088	0.005402171
D32	27.36829882	106.9667934	0.005957472
D33	26.17173828	106.680907	0.007361119
D34	24.90327804	106.6367867	0.002617426
D35	23.78264415	106.7248335	0
D36	22.92793419	107.9939826	0.010142969
D37	21.81784768	108.9222708	0.001404239
D38	21.5743998	110.3929485	0.004198097
D39	21.82044321	111.6453002	0.007263491
D40	21.87911837	112.6807867	0.017469265
D41	22.87461962	113.8015023	0.00125802
D42	22.97574987	115.6466647	0.001253956
D43	23.61175416	116.7343109	0.000522843
D44	24.32414411	117.8550646	0.001222166
D45	25.30146728	118.9865696	0.000624554
D46	26.44269099	119.4920836	0.009212173
D47	27.27590281	120.4747916	0.016906611
D48	28.33989636	121.4801109	0.010906156
D55	37.73692257	117.1095296	0.096308848
D56	38.83178701	117.6037281	0
D57	39.48840554	119.045819	0.003190869
D59	41.51683825	122.6758072	0.000625123
D60	41.69568385	124.7940515	0.009630278
D63	44.09007201	129.1184349	0.00085794
D64	45.17651026	130.2722682	0.010212259
D65	46.40979604	130.4155831	0.000707485
D67	47.80058943	127.8655798	0.006838905
D68	48.46046007	126.2836042	0
D72	40.8645235	112.690984	0.013703916
D73	40.69938134	111.0058594	0.003228294
D75	38.03078569	109.1821289	0.006443474
D81	30.73239273	107.1826172	0.006415439
D82	24.98162346	113.9115715	0.002273053
D83	26.02069136	115.1809216	0.128795558
D84	27.61540601	115.7519531	0.029085099
