city	longitude	value	AMT
D34	106.6367867	0.012214491	17.28333282
D33	106.680907	0.035182015	15.74166679
D35	106.7248335	0.021125306	22.58749962
D32	106.9667934	0.030092386	15.875
D81	107.1826172	0.023133062	17.34166718
D30	107.3189179	0.018188036	17.34583282
D31	107.4508088	0.040515016	15.6916666
D36	107.9939826	0.040592222	22.22083282
D29	108.5491264	0.108670686	11.28333282
D37	108.9222708	0.025720726	21.92499924
D75	109.1821289	0.03060733	9.11250019
D28	109.8460691	0.006568315	13.70416641
D38	110.3929485	0.015156812	22.90833282
D73	111.0058594	0.020868097	6.13749981
D27	111.5278917	0.036248333	16.52083397
D39	111.6453002	0.020193526	23
D40	112.6807867	0.063964252	22.53750038
D72	112.690984	0.084721092	3.5041666
D26	113.527516	0.150037684	16.85416603
D41	113.8015023	0.08123539	22.24583435
D82	113.9115715	0.021541383	20.09583282
D83	115.1809216	0.024002043	18.97083282
D16	115.6366612	0.009689109	14.02083397
D42	115.6466647	0.310625401	22.36666679
D84	115.7519531	0.147198185	17.99166679
D22	115.8091944	0.04046088	17.54166603
D15	115.8254176	0.062772509	13.35416698
D18	115.9720839	0.143890183	15.47500038
D21	115.9776418	0.039966729	17.44166565
D19	116.4432939	0.053756428	15.76249981
D43	116.7343109	0.056307934	21.55416679
D20	116.7348436	0.048239894	16.53333282
D14	117.0581391	0.18799684	13.28333282
D55	117.1095296	0.063378654	13.09583378
D23	117.6027286	0.007127678	17.76666641
D56	117.6037281	0.184633869	12.9958334
D44	117.8550646	9.19888E-07	20.84583282
D13	118.5201667	0.021105305	13.46249962
D24	118.745188	0.054537383	17.54166603
D45	118.9865696	0.110347327	20.05416679
D57	119.045819	0.075307576	10.84166718
D7	119.436279	0.024549502	13.7458334
D46	119.4920836	0.060784494	17.99166679
D4	119.8199415	0.091132215	15.83333302
D9	119.952035	0.342077585	12.8083334
D5	119.9922037	0.030026832	15.17500019
D12	120.0027382	0.008562065	12.38749981
D3	120.0531006	0.303860407	16.16250038
D6	120.2119303	0.227388157	14.27916622
D25	120.3459665	0.132981203	16.58749962
D47	120.4747916	0.173438658	18.02083397
D2	120.6428433	0.425066489	16.80833244
D10	120.954237	0.245163418	12.45416641
D48	121.4801109	0.040283856	17.24583244
D1	121.5802002	0.090538785	17.24166679
D11	121.8893799	0.047548863	11.97916698
D59	122.6758072	0.05123417	8.60833359
D60	124.7940515	0.0690912	6.10833359
D68	126.2836042	0.045646167	1.01666665
D67	127.8655798	0.218810769	1.0041666
D63	129.1184349	0.139359687	4.23749971
D64	130.2722682	0.120189226	3.25
D65	130.4155831	0.057386816	2.84166646
