risky	ARGs	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H20	H21	ARG Class
Q1	aac(6')-ie-aph(2'')-ia	0	0	0	0	0	0.014973351	0.021646316	0	0	0	0	0	0.01025659	0.001037161	0	0	0.001745814	0	0	0	0.001544892	0.000678524	0	0.00103362	0	0	0.000105005	9.02672E-09	0.00435148	0.000795313	0.0002457	0	0.001858271	0.000889883	0.000971532	0	0.000266169	0.000134764	0.000456001	0.000322105	0.000146171	0	0.000537121	0	0.000740959	0.000423068	0.006254304	0.000533357	0.004030185	0.002083234	0	0	0	0	0	0	0	0	0	0	0	0	0	aminoglycoside antibiotic
Q1	aadA5	0.00018757	0	0	0	0	0	0.005465325	0.003844988	0.008361439	0	0.000594585	0	0.006230286	0.000789751	0.003773132	0	0.000357026	0.001083158	0	0	0	0.000321787	0.001103855	0.000309666	0.00027639	0.000647362	0.000534113	9.49804E-09	0.003046709	0.000523371	0.000201425	0.001650232	0.001388555	0.000411225	0.00199467	0.00045394	0.000244627	0.000243247	0	0.000209074	0	0	0	0	0.000425589	0.001884903	0.001360169	0.000554615	0.002029261	0.000601376	0	0	0.000582728	0.000572395	0.000580005	0	0	0	0	0	0.001288671	0	0	aminoglycoside antibiotic
Q1	acrB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022193	0.000216007	0	0	0	8.16434E-05	0	0	0	0.000460541	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000211312	8.8393E-05	0.000622505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Multidrug
Q1	AcrF	0	0	0	0	0	0	0	0	0	0	0	0	0.000213195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.80553E-05	0	0	0	0	0.000171555	0	0	0	0	0	0	0	0	0	0	0	0	0.000524968	0	0	8.38525E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	Multidrug
Q1	ANT(2'')-Ia	0	0	0	0	0	0	0	0	0	0	0	0	0.00168967	0	0.001390887	0	0	0	0	0	0	0	0	0	0.000113933	0	7.73058E-05	0	0	0	0	0	0	0.000461369	0	6.9225E-05	0	0.000126592	8.8492E-05	7.75309E-05	0	7.96117E-05	0	0	0	0	0.00077273	0	0.000200058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	aminoglycoside antibiotic
Q1	APH(3')-Ia	0	0	0	0	0	0	0	0.003092616	0.012153826	0	0.001672045	0	0.004931977	0.000423126	0.004753166	0	0	0	0	0	0	0	0	0.00078025	0.000216455	0.00162041	0.000166784	1.78977E-08	0.002491231	0.000731889	0.00030099	0.005436821	0.00232317	0	0.002364896	0	0	0	0	0	0.000129472	0	0	0	0.000364658	0.000325372	0.001058549	0.000867056	0.002611692	0.001013883	0.000399221	0	0	0	0	0	0	0	0	0	0	0	0	aminoglycoside antibiotic
Q1	APH(6)-Id	0	0	0	0.000281652	0	0	0.013980896	0.002900427	0.019708202	0	0	0	0.021355365	0.00262301	0.015098715	0	0.005993838	0	0	0	0	0.000584256	0.002131062	0.000366104	0.000768053	0.002928654	0.002514902	6.54662E-08	0.005498193	0.001824513	0.002028813	0.003684376	0.004853332	0.000418649	0.009101731	0.001725325	0.00098434	0.000927323	0.000472852	0.000641277	0.000172835	0.000415161	0.001085458	0	0.002557296	0.002416969	0.0066529	0.002731819	0.013196295	0.004301451	0.001937283	0.001535953	0.00180799	0.004099879	0.001693491	0.002783345	0	0	0.002930009	0	0	0	0	aminoglycoside antibiotic
Q1	bacA	0.000113765	0	0	0	0	0	0	0	0	0	0.000187553	0	0	0	0	0	0	0	0	0	0.008103899	0	0	0	0	0	0	0	0	0.000179963	8.10774E-05	0.002056482	0	0.006244246	0	0.000179468	0	0	0	0.00046659	0	0.002577692	0	0	0	0	0	0	2.16569E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	peptide antibiotic
Q1	ErmB	0	0.005106708	0.000443457	0	0.034428968	0.005174996	0.017491901	0	0.005129972	0	0.001323988	0	0.005436821	0	0.002948119	0.005726035	0.001229283	0.000848047	0	0	0	0	0.001771165	0.000410215	0	0.003535843	0.001768732	6.0791E-08	0.051694103	0.005159006	0.001744826	0	0.005707672	0.001785143	0.005279089	0.001523832	0.001382898	0.000702902	0.000236892	0.000634124	0	0.000327745	0.003446022	0.001842243	0.002780078	0.002341375	0.015652763	0.004447726	0.009536434	0.007731878	0.012451337	0.003943955	0.000385953	0.003280908	0.00073503	0	0.001409019	0	0	0	0	0	0	MLS
Q1	ErmF	0	0.002045785	0	0.00094495	0.008048445	0.003598355	0.005369304	0.00383009	0.003337367	0.005157117	0.000840669	0	0.006940999	0.000533416	0.002517404	0	0.00070588	0	0.00080318	0	0.001363	0.000199848	0.0023268	0.000220329	0.000530993	0.000690067	0.001011072	3.11775E-08	0.001875279	0.000943346	0	0.000861914	0.002518639	0.001236497	0.004454736	0.001495406	9.1002E-05	0.000568612	0.000233141	0.001281843	0	0	0.001373112	0.001424374	0.001372439	0.001663267	0.004939819	0.002186623	0.003851581	0.002224652	0.0011766	0	0	0.000700605	0.000346604	0.002492677	0.001008972	0	0	0	0	0	0	MLS
