#sample	shannon
D9	3.689468
D56	3.218122
D57	3.730695
D59	3.726764
D60	3.423381
D63	3.061466
D64	2.72313
D65	2.86842
D67	2.763078
D68	1.682965
D72	2.829225
D10	3.445273
D73	2.125332
D75	1.372355
D11	3.537937
D12	3.794716
D13	3.783178
D14	3.813757
D15	3.761624
D16	3.825959
D55	3.519656
D31	1.944324
D40	3.126975
D41	3.232431
D42	2.707946
D43	3.530471
D44	3.572815
D45	3.591832
D46	3.033548
D47	3.466283
D48	3.061043
D82	2.922816
D32	2.882326
D83	2.798313
D84	3.29242
D33	2.245153
D34	2.866121
D35	3.300145
D36	3.311225
D37	3.70364
D38	3.554166
D39	3.471948
D1	2.996294
D20	1.886931
D21	3.14315
D22	3.818743
D23	3.128458
D24	3.62077
D25	3.754509
D26	3.614984
D27	3.61593
D28	3.480121
D29	3.485206
D2	3.328498
D30	3.504234
D81	3.127115
D3	3.581606
D4	3.448055
D5	3.772716
D6	3.605009
D7	0
D18	3.529114
D19	3.018739
