#sample	shannon
D9	2.975804
D56	2.87871
D57	2.824329
D59	2.840625
D60	2.666756
D63	1.61964
D64	2.022251
D65	1.902181
D67	1.759185
D68	1.606826
D72	1.368792
D10	2.925948
D73	2.051266
D75	2.510805
D11	2.986901
D12	2.616708
D13	2.352578
D14	3.083606
D15	3.022905
D16	2.766715
D55	2.955782
D31	2.262536
D40	1.468422
D41	2.394644
D42	1.855758
D43	2.329384
D44	2.788303
D45	3.006239
D46	2.005522
D47	2.790914
D48	2.35736
D82	1.707618
D32	2.349493
D83	1.823639
D84	1.595203
D33	2.685422
D34	2.696046
D35	2.514607
D36	2.339127
D37	2.763932
D38	2.709443
D39	2.4124
D1	2.823043
D20	3.256519
D21	2.691435
D22	2.070821
D23	2.548181
D24	2.347336
D25	2.845861
D26	2.948815
D27	3.001264
D28	2.540045
D29	2.337732
D2	3.228269
D30	2.292461
D81	1.757
D3	2.714577
D4	3.015109
D5	2.838398
D6	2.905861
D7	2.994112
D18	1.2351
D19	2.597541
