#sample	shannon
D9	0.395041
D56	1E-17
D57	1E-17
D59	1E-17
D60	1E-17
D63	1E-17
D64	1E-17
D65	1E-17
D67	1E-17
D68	1E-17
D72	1E-17
D10	0.646328
D73	1E-17
D75	1E-17
D11	0.676562
D12	0.464234
D13	0.69146
D14	0.667909
D15	0.456828
D16	1E-17
D55	1E-17
D31	1E-17
D40	1E-17
D41	1E-17
D42	1E-17
D43	1E-17
D44	1E-17
D45	1E-17
D46	1E-17
D47	1E-17
D48	1E-17
D82	1E-17
D32	1E-17
D83	1E-17
D84	1E-17
D33	1E-17
D34	1E-17
D35	1E-17
D36	1E-17
D37	1E-17
D38	1E-17
D39	1E-17
D1	1E-17
D20	1E-17
D21	1E-17
D22	1E-17
D23	1E-17
D24	0.656901
D25	0.147829
D26	1E-17
D27	1E-17
D28	1E-17
D29	1E-17
D2	1E-17
D30	1E-17
D81	1E-17
D3	1E-17
D4	1E-17
D5	1E-17
D6	0.472241
D7	1E-17
D18	1E-17
D19	1E-17
