#sample	shannon
D9	1.952309
D56	1E-17
D57	1.195989
D59	1.0889
D60	0.829788
D63	1E-17
D64	0.851245
D65	0.681097
D67	1.115888
D68	1E-17
D72	1E-17
D10	1.597776
D73	0.679051
D75	1.643918
D11	1.878467
D12	1.428516
D13	1.005178
D14	1.536984
D15	1.493876
D16	1.868491
D55	1.094523
D31	1.332297
D40	1.161011
D41	0.832346
D42	0.654796
D43	0.341851
D44	1E-17
D45	0.6929
D46	1.053203
D47	0.776876
D48	0.647988
D82	1.04823
D32	0.903076
D83	0.933242
D84	1.234974
D33	1.801994
D34	1.516351
D35	1E-17
D36	1E-17
D37	1E-17
D38	0.691258
D39	1.322754
D1	0.475718
D20	1.468833
D21	1.042339
D22	1.259333
D23	1.856547
D24	0.166587
D25	1.257289
D26	0.917767
D27	0.960164
D28	1.029653
D29	0.690468
D2	1.828733
D30	1.816839
D81	0.482261
D3	1.746328
D4	1.398769
D5	1.834123
D6	1.609352
D7	1.882115
D18	1.360264
D19	1.25921
