#sample	group
D1	Mid_latitudes
D2	Mid_latitudes
D3	Mid_latitudes
D4	Mid_latitudes
D5	Mid_latitudes
D6	Mid_latitudes
D7	Mid_latitudes
D9	High_latitudes
D10	High_latitudes
D11	High_latitudes
D12	High_latitudes
D13	High_latitudes
D14	High_latitudes
D15	High_latitudes
D16	High_latitudes
D18	Mid_latitudes
D19	Mid_latitudes
D20	Mid_latitudes
D21	Mid_latitudes
D22	Mid_latitudes
D23	Mid_latitudes
D24	Mid_latitudes
D25	Mid_latitudes
D26	Mid_latitudes
D27	Mid_latitudes
D28	Mid_latitudes
D29	Mid_latitudes
D30	Mid_latitudes
D31	Low_latitudes
D32	Low_latitudes
D33	Low_latitudes
D34	Low_latitudes
D35	Low_latitudes
D36	Low_latitudes
D37	Low_latitudes
D38	Low_latitudes
D39	Low_latitudes
D40	Low_latitudes
D41	Low_latitudes
D42	Low_latitudes
D43	Low_latitudes
D44	Low_latitudes
D45	Low_latitudes
D46	Low_latitudes
D47	Low_latitudes
D48	Low_latitudes
D55	High_latitudes
D56	High_latitudes
D57	High_latitudes
D59	High_latitudes
D60	High_latitudes
D63	High_latitudes
D64	High_latitudes
D65	High_latitudes
D67	High_latitudes
D68	High_latitudes
D72	High_latitudes
D73	High_latitudes
D75	High_latitudes
D81	Mid_latitudes
D82	Low_latitudes
D83	Low_latitudes
D84	Low_latitudes
